SOIL_ID,SNAM
1,ARdy
2,ARdy-tn
3,Mountain
4,CMdy
5,CMdy-ap
6,CMdy-sl
7,CMeu-sl
8,CMfv
9,CMfv-ap
10,CMlen-dy
11,Antropogenic
12,GLch-ce
13,GLch-hu-sl
14,GLch-sl
15,GLdy
16,GLfv
17,GLhi-eu-sl
18,GLmo-sl
19,GLum
20,GLum-ar
21,GLum-fv-hu-sl
22,Sea_dep_thin
23,Sea_dep_thick
24,HSfi-dy
25,HShm-dy
26,HSsa-dy
27,HSsa-dy-nv
28,HSsa-dy-rp
29,HSsa-dy-rp-rc
30,HSsa-um-tn
31,Humic
32,LPhk
33,LVcm-sl
34,LVlen-sl
35,Beach_dep
36,PHha-ph-sl
37,PLdy
38,PLfv
39,PLhi-dy
40,PLum
41,PZha
42,PZha-ar
43,PZhk-um
44,PZos-um
45,PZum
46,PZum-ap
47,PZum-ar
48,End_moraine
49,RGdy-hu
50,RGdy-pp
51,RGdy-sl-pp
52,RGlen-dy-ar
53,RGlep-dy
54,STch-rt-sl
55,STdy
56,STdy-sl
57,STeu
58,STeu-ce
59,STeu-ce-pp
60,STeu-rp-sl
61,STeu-sl
62,STeu-sl-pp
63,STfv
64,STlen-dy
65,STlen-lv-sl
66,STlen-rt-sl
67,STlen-um-sl
68,STlrt-sl
69,STlv
70,STlv-sl
71,STmo
72,STrt
73,STrt-sl
74,STum
75,STum-fv
76,STv-sl
77,TCsp
78,TCsp-st-sl
79,Bog_organic
80,UMha-ap